aX,aY,aZ,gX,gY,gZ
1.146,-0.580,-1.540,-10.193,-132.507,-85.693
1.333,-0.433,-1.737,-17.944,-116.516,-60.669
1.481,-0.349,-1.925,-26.611,-105.591,-36.072
1.542,-0.307,-2.122,-34.119,-97.290,-18.250
1.520,-0.285,-2.320,-37.354,-88.379,-9.033
1.413,-0.353,-2.437,-32.715,-72.937,-5.615
1.217,-0.439,-2.455,-27.222,-47.913,-7.507
1.001,-0.434,-2.443,-26.306,-18.311,-11.230
0.824,-0.370,-2.400,-23.499,8.911,-12.512
0.682,-0.338,-2.318,-13.062,32.227,-10.437
0.561,-0.383,-2.187,1.831,50.842,-5.371
0.463,-0.439,-2.028,16.541,67.566,0.488
0.341,-0.532,-1.859,28.809,81.665,6.897
0.234,-0.684,-1.745,35.461,93.445,12.207
0.090,-0.825,-1.663,38.513,106.201,14.709
-0.010,-1.036,-1.547,39.185,126.160,9.827
-0.168,-1.292,-1.400,34.058,155.762,-4.517
-0.251,-1.444,-1.230,21.667,190.430,-29.968
-0.366,-1.639,-1.061,4.028,222.595,-53.223
-0.388,-1.919,-0.965,-18.005,246.155,-68.481
-0.246,-2.082,-0.990,-48.523,256.714,-80.627
0.029,-2.140,-1.082,-78.003,256.226,-90.942
0.407,-2.071,-1.194,-95.337,248.962,-101.013
0.845,-2.055,-1.175,-88.379,239.258,-109.985
1.247,-2.073,-0.923,-60.486,233.643,-119.629
1.794,-1.786,-0.397,-32.043,239.868,-146.118
2.404,-1.192,0.440,-14.771,257.568,-192.261
3.139,-0.400,1.342,-11.414,272.522,-227.722
3.706,0.336,2.172,-26.855,269.531,-231.384
4.000,0.982,2.824,-59.448,257.874,-216.187
4.000,1.464,3.396,-96.924,255.798,-189.331
3.942,1.751,3.917,-134.460,268.311,-167.297
3.723,2.253,4.000,-161.926,276.489,-167.786
3.599,2.762,4.000,-164.185,268.799,-181.702
3.461,3.009,4.000,-154.724,243.164,-186.646
3.011,2.895,4.000,-149.414,194.641,-167.847
2.412,2.621,4.000,-151.001,130.493,-129.517
1.772,2.317,3.765,-159.973,71.472,-90.393
1.274,2.182,3.189,-171.387,30.945,-62.317
0.932,2.048,2.632,-175.537,4.822,-42.603
0.666,1.762,2.199,-165.466,-13.000,-25.269
0.561,1.613,1.805,-146.790,-23.376,-19.043
0.450,1.329,1.538,-114.502,-31.311,-12.573
0.353,1.002,1.411,-73.486,-40.710,-7.202
0.355,0.726,1.364,-34.973,-46.936,-5.920
0.382,0.470,1.414,-6.409,-56.030,-7.568
0.418,0.279,1.491,9.155,-67.871,-6.775
0.436,0.121,1.524,11.658,-80.139,-2.625

0.088,-0.197,0.814,-36.438,-52.246,-14.526
0.088,-0.123,0.763,-32.898,-52.063,-24.414
0.087,-0.038,0.713,-29.480,-50.049,-34.180
0.087,0.058,0.668,-28.259,-46.204,-41.321
